product_category_name,revenue,orders,avg_price,avg_freight,month
beleza_saude,6613.529999999978,1,44.98999999999985,2.8299999999999974,2016-09
fashion_bolsas_e_acessorios,18291.700000000008,7,46.66250000000002,16.210000000000004,2016-10
relogios_presentes,132842.42999999996,4,677.7674999999998,20.659999999999986,2016-10
consoles_games,177348.64,7,517.0514285714286,23.71428571428572,2016-10
unknown,3228.609999999998,2,32.94499999999998,15.014999999999993,2016-10
alimentos,3915.100000000003,1,79.90000000000006,16.330000000000005,2016-10
telefonia,11186.210000000006,7,28.536250000000017,13.244999999999992,2016-10
esporte_lazer,98595.34999999999,17,118.36176470588234,28.1535294117647,2016-10
beleza_saude,168523.24999999994,36,85.98124999999997,18.675999999999995,2016-10
fraldas_higiene,6610.099999999995,1,134.8999999999999,16.090000000000003,2016-10
brinquedos,201218.5,22,171.10416666666666,20.209583333333335,2016-10
climatizacao,66115.21000000006,4,168.66125000000017,19.28999999999997,2016-10
fashion_calcados,1469.5100000000002,1,29.990000000000006,10.959999999999994,2016-10
bebes,67187.32999999996,9,124.6518181818181,13.307272727272725,2016-10
cool_stuff,51258.899999999994,7,149.44285714285712,27.25428571428573,2016-10
utilidades_domesticas,63066.429999999964,9,107.25583333333327,21.289166666666663,2016-10
pet_shop,33794.319999999985,4,172.41999999999993,21.54500000000001,2016-10
moveis_decoracao,278835.4799999999,49,87.54646153846151,18.59738461538461,2016-10
informatica_acessorios,32781.98,12,55.75166666666667,16.068333333333328,2016-10
cama_mesa_banho,23470.509999999973,5,59.87374999999993,15.94875000000001,2016-10
automotivo,55284.73999999999,8,141.03249999999997,27.876249999999985,2016-10
moveis_escritorio,63743.120000000024,6,216.81333333333342,47.778333333333336,2016-10
market_place,44849.21000000005,5,83.20818181818191,20.60545454545461,2016-10
audio,7692.51,2,78.495,13.02,2016-10
fashion_roupa_masculina,1220.1000000000001,1,24.900000000000002,10.959999999999994,2016-10
ferramentas_jardim,66634.11999999998,5,271.97599999999994,21.061999999999987,2016-10
eletronicos,5291.509999999994,1,107.98999999999988,11.8,2016-10
perfumaria,236625.89999999988,26,166.52068965517233,16.76206896551725,2016-10
industria_comercio_e_negocios,17620.399999999987,3,89.89999999999993,18.490000000000006,2016-10
fashion_roupa_feminina,2690.100000000002,1,54.90000000000004,14.73000000000001,2016-10
telefonia_fixa,34539.11999999998,5,140.9759999999999,13.914000000000001,2016-10
fashion_bolsas_e_acessorios,534.0999999999996,1,10.899999999999991,8.720000000000011,2016-12
esporte_lazer,451394.85999999987,57,124.48837837837834,20.848783783783773,2017-01
beleza_saude,605955.5599999996,79,150.8102439024389,17.516585365853647,2017-01
ferramentas_jardim,365880.5499999998,36,138.27685185185177,18.173888888888882,2017-01
automotivo,236181.47000000018,27,155.48483870967755,18.269354838709678,2017-01
bebes,304676.12,31,155.447,18.101499999999994,2017-01
moveis_sala,60853.09999999993,8,124.18999999999987,27.731999999999978,2017-01
eletrodomesticos_2,93922.21999999999,6,273.82571428571424,16.417142857142853,2017-01
moveis_quarto,3586.799999999997,8,9.149999999999991,9.44500000000001,2017-01
moveis_escritorio,56759.149999999994,6,144.79375,22.928750000000008,2017-01
eletroportateis,81378.70999999999,6,276.7983333333333,21.243333333333336,2017-01
livros_interesse_geral,11509.609999999991,2,117.44499999999991,18.329999999999988,2017-01
agro_industria_e_comercio,3232.5299999999997,2,21.99,13.930000000000012,2017-01
seguros_e_servicos,8981.210000000003,1,183.29000000000005,25.769999999999985,2017-01
fashion_roupa_feminina,3787.7000000000016,2,38.65000000000002,12.754999999999994,2017-01
utilidades_domesticas,138551.41999999998,21,100.98499999999999,15.79214285714286,2017-01
eletronicos,30232.999999999996,11,56.090909090909086,14.129999999999997,2017-01
casa_conforto_2,3567.200000000002,2,36.40000000000002,11.384999999999996,2017-01
market_place,20292.859999999993,5,82.82799999999997,18.043999999999997,2017-01
dvds_blu_ray,1460.2000000000016,1,14.900000000000016,9.0,2017-01
moveis_cozinha_area_de_servico_jantar_e_jardim,5390.0,1,110.0,18.200000000000017,2017-01
telefonia_fixa,33178.88,19,30.778181818181817,13.292727272727276,2017-01
fashion_bolsas_e_acessorios,81926.53000000003,30,47.770571428571444,13.275428571428565,2017-01
moveis_decoracao,638794.8699999996,132,73.65327683615816,15.973446327683611,2017-01
unknown,78578.36000000002,10,133.63666666666668,16.2575,2017-01
consoles_games,221207.55999999982,19,214.97333333333316,18.91857142857143,2017-01
malas_acessorios,24132.49999999999,4,98.49999999999996,14.576000000000002,2017-01
pet_shop,39156.87999999998,12,57.07999999999998,14.090714285714295,2017-01
fashion_underwear_e_moda_praia,6725.25,2,68.625,16.949999999999996,2017-01
instrumentos_musicais,16647.25999999999,1,339.73999999999984,18.0,2017-01
pcs,107799.51000000005,1,2199.990000000001,18.0,2017-01
brinquedos,223841.30999999982,41,111.41926829268284,17.635853658536586,2017-01
telefonia,37041.05999999999,17,34.36090909090908,16.924090909090904,2017-01
cool_stuff,335986.63,30,185.32081081081083,20.16621621621622,2017-01
musica,970.1999999999991,2,9.899999999999991,8.720000000000011,2017-01
perfumaria,250517.39999999994,29,150.3705882352941,15.923823529411765,2017-01
informatica_acessorios,192282.86000000004,24,126.5851612903226,14.627741935483868,2017-01
cama_mesa_banho,186413.63999999998,43,82.70347826086956,18.113913043478266,2017-01
alimentos,2098.1800000000007,2,21.410000000000007,18.0,2017-01
papelaria,76537.51000000008,7,111.5707142857144,13.758571428571443,2017-01
relogios_presentes,396239.48,11,735.1381818181818,20.391818181818188,2017-01
