month,customer_state,revenue,orders
2017-05,rj,4541898.880000003,466
2017-05,go,1054795.5199999993,83
2017-05,rs,1819136.5600000017,207
2017-05,pe,641884.3999999997,64
2017-05,pr,1992646.4000000025,206
2017-05,pb,179790.08,17
2017-05,al,300751.99999999994,26
2017-05,df,476958.7199999995,60
2017-05,mt,430791.03999999975,37
2017-05,ms,202710.3999999999,26
2017-05,pa,345864.9599999998,35
2017-05,rr,14919.039999999997,2
2017-06,go,563061.7599999994,73
2017-06,pb,366842.87999999995,22
2017-06,rs,1504228.5599999991,215
2017-06,pr,1353810.56,167
2017-06,mg,2962120.080000001,357
2017-06,ba,1287018.8800000004,103
2017-06,pa,351774.7199999999,36
2017-06,ms,243674.87999999995,27
2017-06,ro,115258.88000000005,10
2017-06,am,10879.35999999999,1
2017-06,pi,137438.08,14
2017-06,al,60905.59999999993,10
2017-06,ap,16172.799999999976,2
2017-06,ma,108000.00000000001,15
2017-06,es,661434.7199999994,79
2017-06,sc,828466.4799999989,111
2017-06,rj,3410940.800000004,399
2017-06,sp,10814400.72,1286
2017-06,df,525175.0399999999,69
2017-06,ce,611852.7999999999,44
2017-06,pe,352219.91999999975,42
2017-06,rn,79447.03999999995,12
2017-06,mt,272744.31999999995,24
2017-06,ac,24689.91999999998,4
2017-06,rr,5977.600000000002,3
2017-06,se,83712.63999999994,8
2017-06,to,253771.51999999996,8
2017-07,pe,587098.8799999995,70
2017-07,ba,1182327.2799999998,145
2017-07,ma,398108.15999999974,37
2017-07,sc,1181015.5999999996,153
2017-07,pr,1557829.6000000003,196
2017-07,df,692993.2799999993,75
2017-07,pb,271427.8400000005,26
2017-07,es,458060.79999999946,81
2017-07,ms,229308.79999999984,24
2017-07,pi,140928.6399999999,20
2017-07,am,45158.39999999999,5
2017-07,ac,39596.15999999998,5
2017-07,rr,11513.599999999988,1
2017-07,sp,11402721.679999998,1545
2017-07,rj,4798351.919999996,548
2017-07,mg,3439528.400000001,435
2017-07,rn,204415.35999999993,27
2017-07,go,571084.1599999993,77
2017-07,rs,1844835.3600000013,243
2017-07,ce,496609.2799999996,53
2017-07,se,87813.75999999998,13
2017-07,pa,286337.2799999999,36
2017-07,al,143292.15999999995,15
2017-07,mt,656561.9199999995,37
2017-07,to,6240.0,1
2017-07,ro,69358.07999999996,10
2017-07,ap,16633.599999999984,1
2017-08,pa,944281.6000000001,57
2017-08,df,616122.2399999993,83
2017-08,sp,12290429.040000001,1669
2017-08,pr,1823246.8800000024,221
2017-08,pi,279519.99999999994,20
2017-08,ro,143160.31999999998,14
2017-08,se,225388.15999999997,19
2017-08,mt,429404.7999999999,38
2017-08,ba,1610085.360000001,154
2017-08,rj,4893937.039999998,539
2017-08,sc,1394686.88,152
2017-08,mg,3760871.760000002,461
2017-08,al,568913.2800000003,17
2017-08,rs,2143706.560000002,297
2017-08,pe,822051.1999999994,83
2017-08,rn,162906.23999999993,20
2017-08,to,136484.47999999995,15
2017-08,ma,383950.71999999986,38
2017-08,go,840891.5199999969,89
2017-08,ce,681130.2399999996,73
2017-08,es,842381.5999999995,95
2017-08,ms,245863.68,24
2017-08,pb,148785.27999999994,16
2017-08,ac,40827.51999999998,4
2017-08,am,81702.40000000004,5
2017-08,ap,18546.56000000001,3
2017-09,sp,13520492.800000003,1578
2017-09,sc,1634888.320000001,153
2017-09,ba,1516214.3200000003,168
2017-09,go,843759.3599999999,84
2017-09,rn,212482.56,23
2017-09,pb,319320.9599999999,25
2017-09,mt,439336.6400000001,35
2017-09,ap,23334.39999999996,2
2017-09,rj,5946387.519999998,591
2017-09,es,717797.5999999992,93
2017-09,ce,1065787.5199999996,74
2017-09,pi,182286.71999999997,22
2017-09,pr,1334235.8400000003,177
2017-09,mg,4574979.119999999,494
2017-09,ms,313773.4399999999,32
2017-09,rs,2371362.080000002,273
2017-09,to,236360.3199999999,16
2017-09,ma,604422.3199999998,42
2017-09,pe,832615.6799999995,74
2017-09,ro,268671.36,16
2017-09,al,276176.95999999996,20
2017-09,df,844799.9999999993,94
2017-09,am,74449.92000000006,9
2017-09,pa,397976.9599999997,41
2017-09,se,180178.56,16
2017-09,ac,114360.95999999998,5
2017-09,rr,2559.3599999999974,1
2017-10,go,1063026.3999999994,107
2017-10,mg,5164007.040000001,542
2017-10,rn,268958.07999999984,23
2017-10,pa,430245.1199999997,52
2017-10,rs,2376085.1200000024,244
2017-10,ce,771393.2799999998,63
2017-10,rr,24894.719999999983,3
2017-10,ap,101878.4,3
2017-10,df,808607.9999999995,92
2017-10,ma,661251.2799999996,48
2017-10,sp,14068950.640000006,1727
2017-10,rj,6111503.36,654
2017-10,sc,1346610.4000000004,175
2017-10,to,179766.39999999994,13
2017-10,es,664364.1599999993,100
2017-10,pr,2087445.44,198
2017-10,pb,655135.9999999999,28
2017-10,ms,401141.7599999998,33
2017-10,pe,1095692.1600000001,77
2017-10,ba,1488686.9600000007,158
2017-10,pi,259010.55999999994,23
2017-10,ro,103038.07999999994,13
2017-10,se,274829.44000000006,22
2017-10,mt,687704.6399999998,50
2017-10,al,341407.0399999997,28
2017-10,ac,43726.07999999999,5
2017-10,am,4536.3200000000015,3
2017-11,mt,728429.4399999992,73
2017-11,sc,2422570.4000000022,288
2017-11,sp,22463969.199999996,2906
2017-11,pe,1254351.3600000008,125
2017-11,rs,3679687.6000000034,412
2017-11,rn,525802.24,41
2017-11,to,149507.84,17
2017-11,ro,374538.2399999999,17
2017-11,am,168656.0,10
2017-11,ms,374456.31999999966,44
2017-11,pi,173299.84,31
2017-11,rj,9461369.52,1014
2017-11,ba,1845273.7600000028,244
2017-11,pa,746657.9199999993,69
2017-11,df,1689994.2400000014,157
2017-11,al,379920.6399999999,26
2017-11,mg,8492292.95999999,923
2017-11,pr,2928661.600000001,367
2017-11,es,1527439.8400000012,169
2017-11,ce,1174629.7599999995,103
2017-11,ma,629669.7599999998,53
2017-11,go,1325278.2399999998,153
2017-11,se,357071.9999999999,26
2017-11,pb,281445.75999999995,27
2017-11,ac,41594.87999999999,5
2017-11,ap,32760.320000000014,4
2017-11,rr,6312.959999999991,2
2017-12,am,65885.43999999999,6
2017-12,go,1003195.5199999991,125
2017-12,ma,357769.5999999998,40
2017-12,es,779665.4399999995,108
2017-12,pe,1002919.6799999992,101
2017-12,pb,357475.8399999998,37
2017-12,ce,659164.1599999996,79
2017-12,ap,38521.599999999984,4
2017-12,ac,70449.92000000006,5
2017-12,ms,334812.79999999976,34
2017-12,ba,1778330.0800000003,188
2017-12,mg,5833402.400000001,669
2017-12,rj,7181320.399999999,746
2017-12,sp,17581384.16,2295
